GEO.id,Id,0100000US
GEO.id2,Id2,
GEO.display-label,Geography,United States
HC01_MOE_VC10,"Households; Margin of Error; $150,000 to $199,999",0.1
HC02_EST_VC10,"Families; Estimate; $150,000 to $199,999",5.7
HC02_MOE_VC10,"Families; Margin of Error; $150,000 to $199,999",0.1
HC03_EST_VC10,"Married-couple families; Estimate; $150,000 to $199,999",7.3
HC03_MOE_VC10,"Married-couple families; Margin of Error; $150,000 to $199,999",0.1
HC04_EST_VC10,"Nonfamily households; Estimate; $150,000 to $199,999",1.6
HC04_MOE_VC10,"Nonfamily households; Margin of Error; $150,000 to $199,999",0.1
HC01_EST_VC11,"Households; Estimate; $200,000 or more",4.3
HC01_MOE_VC11,"Households; Margin of Error; $200,000 or more",0.1
HC02_EST_VC11,"Families; Estimate; $200,000 or more",5.6
HC02_MOE_VC11,"Families; Margin of Error; $200,000 or more",0.1
HC03_EST_VC11,"Married-couple families; Estimate; $200,000 or more",7.3
HC03_MOE_VC11,"Married-couple families; Margin of Error; $200,000 or more",0.1
HC04_EST_VC11,"Nonfamily households; Estimate; $200,000 or more",1.5
HC04_MOE_VC11,"Nonfamily households; Margin of Error; $200,000 or more",0.1
HC01_EST_VC13,Households; Estimate; Median income (dollars),50502
HC01_MOE_VC13,Households; Margin of Error; Median income (dollars),73
HC02_EST_VC13,Families; Estimate; Median income (dollars),61455
HC02_MOE_VC13,Families; Margin of Error; Median income (dollars),109
HC03_EST_VC13,Married-couple families; Estimate; Median income (dollars),74392
HC03_MOE_VC13,Married-couple families; Margin of Error; Median income (dollars),129
HC04_EST_VC13,Nonfamily households; Estimate; Median income (dollars),30500
HC04_MOE_VC13,Nonfamily households; Margin of Error; Median income (dollars),86
HC01_EST_VC15,Households; Estimate; Mean income (dollars),69821
HC01_MOE_VC15,Households; Margin of Error; Mean income (dollars),101
HC02_EST_VC15,Families; Estimate; Mean income (dollars),81375
HC02_MOE_VC15,Families; Margin of Error; Mean income (dollars),141
HC03_EST_VC15,Married-couple families; Estimate; Mean income (dollars),95235
HC03_MOE_VC15,Married-couple families; Margin of Error; Mean income (dollars),174
HC04_EST_VC15,Nonfamily households; Estimate; Mean income (dollars),44404
HC04_MOE_VC15,Nonfamily households; Margin of Error; Mean income (dollars),140
HC01_EST_VC18,Households; Estimate; PERCENT IMPUTED - Household income in the past 12 months,29.0
HC01_MOE_VC18,Households; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,
HC02_EST_VC18,Families; Estimate; PERCENT IMPUTED - Household income in the past 12 months,
HC02_MOE_VC18,Families; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,
HC03_EST_VC18,Married-couple families; Estimate; PERCENT IMPUTED - Household income in the past 12 months,
HC03_MOE_VC18,Married-couple families; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,
HC04_EST_VC18,Nonfamily households; Estimate; PERCENT IMPUTED - Household income in the past 12 months,
HC04_MOE_VC18,Nonfamily households; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,
HC01_EST_VC19,Households; Estimate; PERCENT IMPUTED - Family income in the past 12 months,
HC01_MOE_VC19,Households; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,
HC02_EST_VC19,Families; Estimate; PERCENT IMPUTED - Family income in the past 12 months,29.5
HC02_MOE_VC19,Families; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,
HC03_EST_VC19,Married-couple families; Estimate; PERCENT IMPUTED - Family income in the past 12 months,
HC03_MOE_VC19,Married-couple families; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,
HC04_EST_VC19,Nonfamily households; Estimate; PERCENT IMPUTED - Family income in the past 12 months,
HC04_MOE_VC19,Nonfamily households; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,
HC01_EST_VC20,Households; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,
HC01_MOE_VC20,Households; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,
HC02_EST_VC20,Families; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,
HC02_MOE_VC20,Families; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,
HC03_EST_VC20,Married-couple families; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,
HC03_MOE_VC20,Married-couple families; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,
HC04_EST_VC20,Nonfamily households; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,26.3
HC04_MOE_VC20,Nonfamily households; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,
